AFGHANISTAN,AFGHANISTAN
ALBANIA,ALBANIA
ALGERIA,ALGERIA
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANTIGUA & DEPS,ANTIGUA%20%26%20DEPS
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIJAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHRAIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BELARUS
BELGIUM,BELGIUM
BELIZE,BELIZE
BENIN,BENIN
BHUTAN,BHUTAN
BOLIVIA,BOLIVIA
BOSNIA HERZEGOVINA,BOSNIA%20HERZEGOVINA
BOTSWANA,BOTSWANA
BRAZIL,BRAZIL
BRUNEI,BRUNEI
BULGARIA,BULGARIA
BURKINA,BURKINA
BURUNDI,BURUNDI
CAMBODIA,CAMBODIA
CAMEROON,CAMEROON
CANADA,CANADA
CAPE VERDE,CAPE%20VERDE
CENTRAL AFRICAN REPUBLIC,CENTRAL%20AFRICAN%20REPUBLIC
CHAD,CHAD
CHILE,CHILE
CHINA,CHINA
COLOMBIA,COLOMBIA
COMOROS,COMOROS
CONGO,CONGO
CONGO {DEMOCRATIC REP},CONGO%20%7BDEMOCRATIC%20REP%7D
COSTA RICA,COSTA%20RICA
CROATIA,CROATIA
CUBA,CUBA
CYPRUS,CYPRUS
CZECH REPUBLIC,CZECH%20REPUBLIC
DENMARK,DENMARK
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,DOMINICAN%20REPUBLIC
EAST TIMOR,EAST%20TIMOR
ECUADOR,ECUADOR
EGYPT,EGYPT
EL SALVADOR,EL%20SALVADOR
EQUATORIAL GUINEA,EQUATORIAL%20GUINEA
ERITREA,ERITREA
ESTONIA,ESTONIA
ETHIOPIA,ETHIOPIA
FIJI,FIJI
FINLAND,FINLAND
FRANCE,FRANCE
GABON,GABON
GAMBIA,GAMBIA
GEORGIA,GEORGIA
GERMANY,GERMANY
GHANA,GHANA
GREECE,GREECE
GRENADA,GRENADA
GUATEMALA,GUATEMALA
GUINEA,GUINEA
GUINEA-BISSAU,GUINEA-BISSAU
GUYANA,GUYANA
HAITI,HAITI
HONDURAS,HONDURAS
HUNGARY,HUNGARY
ICELAND,ICELAND
INDIA,INDIA
INDONESIA,INDONESIA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRELAND
ISRAEL,ISRAEL
ITALY,ITALY
IVORY COAST,IVORY%20COAST
JAMAICA,JAMAICA
JAPAN,JAPAN
JORDAN,JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KIRIBATI,KIRIBATI
KOREA NORTH,KOREA%20NORTH
KOREA SOUTH,KOREA%20SOUTH
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LATVIA
LEBANON,LEBANON
LESOTHO,LESOTHO
LIBERIA,LIBERIA
LIBYA,LIBYA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITHUANIA
LUXEMBOURG,LUXEMBOURG
MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAYSIA
MALDIVES,MALDIVES
MALI,MALI
MALTA,MALTA
MARSHALL ISLANDS,MARSHALL%20ISLANDS
MAURITANIA,MAURITANIA
MAURITIUS,MAURITIUS
MEXICO,MEXICO
MICRONESIA,MICRONESIA
MOLDOVA,MOLDOVA
MONACO,MONACO
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MOROCCO,MOROCCO
MOZAMBIQUE,MOZAMBIQUE
BURMA,BURMA
NAMIBIA,NAMIBIA
NAURU,NAURU
NEPAL,NEPAL
NETHERLANDS,NETHERLANDS
NEW ZEALAND,NEW%20ZEALAND
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NORWAY,NORWAY
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
PANAMA,PANAMA
PAPUA NEW GUINEA,PAPUA%20NEW%20GUINEA
PARAGUAY,PARAGUAY
PERU,PERU
PHILIPPINES,PHILIPPINES
POLAND,POLAND
PORTUGAL,PORTUGAL
QATAR,QATAR
ROMANIA,ROMANIA
RUSSIA,RUSSIA
RUSSIAN FEDERATION,RUSSIAN%20FEDERATION
RWANDA,RWANDA
ST KITTS & NEVIS,ST%20KITTS%20%26%20NEVIS
ST LUCIA,ST%20LUCIA
SAINT VINCENT & THE GRENADINES,SAINT%20VINCENT%20%26%20THE%20GRENADINES
SAMOA,SAMOA
SAN MARINO,SAN%20MARINO
SAO TOME & PRINCIPE,SAO%20TOME%20%26%20PRINCIPE
SAUDI ARABIA,SAUDI%20ARABIA
SENEGAL,SENEGAL
SERBIA,SERBIA
SEYCHELLES,SEYCHELLES
SIERRA LEONE,SIERRA%20LEONE
SINGAPORE,SINGAPORE
SLOVAKIA,SLOVAKIA
SLOVENIA,SLOVENIA
SOLOMON ISLANDS,SOLOMON%20ISLANDS
SOMALIA,SOMALIA
SOUTH AFRICA,SOUTH%20AFRICA
SOUTH SUDAN,SOUTH%20SUDAN
SPAIN,SPAIN
SRI LANKA,SRI%20LANKA
SUDAN,SUDAN
SURINAME,SURINAME
SWAZILAND,SWAZILAND
SWEDEN,SWEDEN
SWITZERLAND,SWITZERLAND
SYRIA,SYRIA
TAIWAN,TAIWAN
TAJIKISTAN,TAJIKISTAN
TANZANIA,TANZANIA
THAILAND,THAILAND
TOGO,TOGO
TONGA,TONGA
TRINIDAD AND TOBAGO,TRINIDAD%20AND%20TOBAGO
TUNISIA,TUNISIA
TURKEY,TURKEY
TURKMENISTAN,TURKMENISTAN
TUVALU,TUVALU
UGANDA,UGANDA
UKRAINE,UKRAINE
UNITED ARAB EMIRATES,UNITED%20ARAB%20EMIRATES
UNITED KINGDOM,UNITED%20KINGDOM
UNITED STATES,UNITED%20STATES
URUGUAY,URUGUAY
UZBEKISTAN,UZBEKISTAN
VANUATU,VANUATU
VATICAN CITY,VATICAN%20CITY
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
AFGHANISTAN,AFGHANISTAN
ÅLAND ISLANDS,%C3%85LAND%20ISLANDS
ALBANIA,ALBANIA
ALGERIA,ALGERIA
AMERICAN SAMOA,AMERICAN%20SAMOA
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTARCTICA,ANTARCTICA
ANTIGUA AND BARBUDA,ANTIGUA%20AND%20BARBUDA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
ARUBA,ARUBA
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIJAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHRAIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BELARUS
BELGIUM,BELGIUM
BELIZE,BELIZE
BENIN,BENIN
BERMUDA,BERMUDA
BHUTAN,BHUTAN
BOLIVIA,BOLIVIA
BONAIRE,BONAIRE
BOSNIA AND HERZEGOVINA,BOSNIA%20AND%20HERZEGOVINA
BOTSWANA,BOTSWANA
BOUVET ISLAND,BOUVET%20ISLAND
BRAZIL,BRAZIL
BRITISH INDIAN OCEAN TERRITORY,BRITISH%20INDIAN%20OCEAN%20TERRITORY
BRUNEI DARUSSALAM,BRUNEI%20DARUSSALAM
BULGARIA,BULGARIA
BURKINA FASO,BURKINA%20FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBODIA
CAMEROON,CAMEROON
CANADA,CANADA
CAPE VERDE,CAPE%20VERDE
CAYMAN ISLANDS,CAYMAN%20ISLANDS
CENTRAL AFRICAN REPUBLIC,CENTRAL%20AFRICAN%20REPUBLIC
CHAD,CHAD
CHILE,CHILE
CHINA,CHINA
CHRISTMAS ISLAND,CHRISTMAS%20ISLAND
COCOS ISLANDS,COCOS%20ISLANDS
COCOS (KEELING) ISLANDS,COCOS%20%28KEELING%29%20ISLANDS
COLOMBIA,COLOMBIA
COMOROS,COMOROS
CONGO,CONGO
"CONGO, THE DEMOCRATIC REPUBLIC OF THE",CONGO%2C%20THE%20DEMOCRATIC%20REPUBLIC%20OF%20THE
COOK ISLANDS,COOK%20ISLANDS
COSTA RICA,COSTA%20RICA
CÔTE D'IVOIRE,C%C3%94TE%20D%27IVOIRE
CROATIA,CROATIA
CUBA,CUBA
CURAÇAO,CURA%C3%87AO
CYPRUS,CYPRUS
CZECH REPUBLIC,CZECH%20REPUBLIC
DENMARK,DENMARK
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,DOMINICAN%20REPUBLIC
ECUADOR,ECUADOR
EGYPT,EGYPT
EL SALVADOR,EL%20SALVADOR
EQUATORIAL GUINEA,EQUATORIAL%20GUINEA
ERITREA,ERITREA
ESTONIA,ESTONIA
ETHIOPIA,ETHIOPIA
FALKLAND ISLANDS (MALVINAS),FALKLAND%20ISLANDS%20%28MALVINAS%29
FAROE ISLANDS,FAROE%20ISLANDS
FIJI,FIJI
FINLAND,FINLAND
FRANCE,FRANCE
FRENCH GUIANA,FRENCH%20GUIANA
FRENCH POLYNESIA,FRENCH%20POLYNESIA
FRENCH SOUTHERN TERRITORIES,FRENCH%20SOUTHERN%20TERRITORIES
GABON,GABON
GAMBIA,GAMBIA
GEORGIA,GEORGIA
GERMANY,GERMANY
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREECE,GREECE
GREENLAND,GREENLAND
GRENADA,GRENADA
GUADELOUPE,GUADELOUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUERNSEY,GUERNSEY
GUINEA,GUINEA
GUINEA-BISSAU,GUINEA-BISSAU
GUYANA,GUYANA
HAITI,HAITI
HEARD ISLAND AND MCDONALD ISLANDS,HEARD%20ISLAND%20AND%20MCDONALD%20ISLANDS
HEARD ISLAND & MCDONALD ISLANDS,HEARD%20ISLAND%20%26%20MCDONALD%20ISLANDS
HOLY SEE,HOLY%20SEE
VATICAN,VATICAN
VATICAN CITY,VATICAN%20CITY
VATICAN CITY STATE,VATICAN%20CITY%20STATE
HONDURAS,HONDURAS
HONG KONG,HONG%20KONG
HUNGARY,HUNGARY
ICELAND,ICELAND
INDIA,INDIA
INDONESIA,INDONESIA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRELAND
ISLE OF MAN,ISLE%20OF%20MAN
ISRAEL,ISRAEL
ITALY,ITALY
JAMAICA,JAMAICA
JAPAN,JAPAN
JERSEY,JERSEY
JORDAN,JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KIRIBATI,KIRIBATI
KOREA,KOREA
NORTH KOREA,NORTH%20KOREA
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LATVIA
LEBANON,LEBANON
LESOTHO,LESOTHO
LIBERIA,LIBERIA
LIBYA,LIBYA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITHUANIA
LUXEMBOURG,LUXEMBOURG
MACAO,MACAO
MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAYSIA
MALDIVES,MALDIVES
MALI,MALI
MALTA,MALTA
MARSHALL ISLANDS,MARSHALL%20ISLANDS
MARTINIQUE,MARTINIQUE
MAURITANIA,MAURITANIA
MAURITIUS,MAURITIUS
MAYOTTE,MAYOTTE
MEXICO,MEXICO
MICRONESIA,MICRONESIA
MOLDOVA,MOLDOVA
MONACO,MONACO
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MOROCCO
MOZAMBIQUE,MOZAMBIQUE
MYANMAR,MYANMAR
NAMIBIA,NAMIBIA
NAURU,NAURU
NEPAL,NEPAL
NETHERLANDS,NETHERLANDS
NEW CALEDONIA,NEW%20CALEDONIA
NEW ZEALAND,NEW%20ZEALAND
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NIUE,NIUE
NORFOLK ISLAND,NORFOLK%20ISLAND
NORTHERN MARIANA ISLANDS,NORTHERN%20MARIANA%20ISLANDS
NORWAY,NORWAY
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
"PALESTINE, STATE OF",PALESTINE%2C%20STATE%20OF
PANAMA,PANAMA
PAPUA NEW GUINEA,PAPUA%20NEW%20GUINEA
PARAGUAY,PARAGUAY
PERU,PERU
PHILIPPINES,PHILIPPINES
PITCAIRN,PITCAIRN
POLAND,POLAND
PORTUGAL,PORTUGAL
PUERTO RICO,PUERTO%20RICO
QATAR,QATAR
RÉUNION,R%C3%89UNION
ROMANIA,ROMANIA
RUSSIAN FEDERATION,RUSSIAN%20FEDERATION
RWANDA,RWANDA
SAINT BARTHÉLEMY,SAINT%20BARTH%C3%89LEMY
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",SAINT%20HELENA%2C%20ASCENSION%20AND%20TRISTAN%20DA%20CUNHA
SAINT KITTS AND NEVIS,SAINT%20KITTS%20AND%20NEVIS
SAINT LUCIA,SAINT%20LUCIA
SAINT MARTIN (FRENCH PART),SAINT%20MARTIN%20%28FRENCH%20PART%29
SAINT PIERRE AND MIQUELON,SAINT%20PIERRE%20AND%20MIQUELON
SAINT VINCENT AND THE GRENADINES,SAINT%20VINCENT%20AND%20THE%20GRENADINES
SAMOA,SAMOA
SAN MARINO,SAN%20MARINO
SAO TOME AND PRINCIPE,SAO%20TOME%20AND%20PRINCIPE
SAUDI ARABIA,SAUDI%20ARABIA
SENEGAL,SENEGAL
SERBIA,SERBIA
SEYCHELLES,SEYCHELLES
SIERRA LEONE,SIERRA%20LEONE
SINGAPORE,SINGAPORE
SINT MAARTEN (DUTCH PART),SINT%20MAARTEN%20%28DUTCH%20PART%29
SLOVAKIA,SLOVAKIA
SLOVENIA,SLOVENIA
SOLOMON ISLANDS,SOLOMON%20ISLANDS
SOMALIA,SOMALIA
SOUTH AFRICA,SOUTH%20AFRICA
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH%20GEORGIA%20AND%20THE%20SOUTH%20SANDWICH%20ISLANDS
SOUTH SUDAN,SOUTH%20SUDAN
SPAIN,SPAIN
SRI LANKA,SRI%20LANKA
SUDAN,SUDAN
SURINAME,SURINAME
SVALBARD AND JAN MAYEN,SVALBARD%20AND%20JAN%20MAYEN
SWAZILAND,SWAZILAND
SWEDEN,SWEDEN
SWITZERLAND,SWITZERLAND
SYRIAN ARAB REPUBLIC,SYRIAN%20ARAB%20REPUBLIC
"TAIWAN, PROVINCE OF CHINA",TAIWAN%2C%20PROVINCE%20OF%20CHINA
TAJIKISTAN,TAJIKISTAN
"TANZANIA, UNITED REPUBLIC OF",TANZANIA%2C%20UNITED%20REPUBLIC%20OF
THAILAND,THAILAND
EAST TIMOR,EAST%20TIMOR
TIMOR-LESTE,TIMOR-LESTE
TOGO,TOGO
TOKELAU,TOKELAU
TONGA,TONGA
TRINIDAD & TOBAGO,TRINIDAD%20%26%20TOBAGO
TRINIDAD AND TOBAGO,TRINIDAD%20AND%20TOBAGO
TUNISIA,TUNISIA
TURKEY,TURKEY
TURKMENISTAN,TURKMENISTAN
TURKS AND CAICOS ISLANDS,TURKS%20AND%20CAICOS%20ISLANDS
TUVALU,TUVALU
UGANDA,UGANDA
UKRAINE,UKRAINE
UNITED ARAB EMIRATES,UNITED%20ARAB%20EMIRATES
UNITED KINGDOM,UNITED%20KINGDOM
UNITED STATES,UNITED%20STATES
UNITED STATES MINOR OUTLYING ISLANDS,UNITED%20STATES%20MINOR%20OUTLYING%20ISLANDS
URUGUAY,URUGUAY
UZBEKISTAN,UZBEKISTAN
VANUATU,VANUATU
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
VIET NAM,VIET%20NAM
"VIRGIN ISLANDS, BRITISH",VIRGIN%20ISLANDS%2C%20BRITISH
"VIRGIN ISLANDS, U.S.",VIRGIN%20ISLANDS%2C%20U%2ES%2E
WALLIS AND FUTUNA,WALLIS%20AND%20FUTUNA
WESTERN SAHARA,WESTERN%20SAHARA
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
AF,AF
AX,AX
AL,AL
DZ,DZ
AS,AS
AD,AD
AO,AO
AI,AI
AQ,AQ
AG,AG
AR,AR
AM,AM
AW,AW
AU,AU
AT,AT
AZ,AZ
BS,BS
BH,BH
BD,BD
BB,BB
BY,BY
BE,BE
BZ,BZ
BJ,BJ
BM,BM
BT,BT
BO,BO
BQ,BQ
BA,BA
BW,BW
BV,BV
BR,BR
IO,IO
BN,BN
BG,BG
BF,BF
BI,BI
KH,KH
CM,CM
CA,CA
CV,CV
KY,KY
CF,CF
TD,TD
CL,CL
CN,CN
CX,CX
CC,CC
CO,CO
KM,KM
CG,CG
CD,CD
CK,CK
CR,CR
CI,CI
HR,HR
CU,CU
CW,CW
CY,CY
CZ,CZ
DK,DK
DJ,DJ
DM,DM
DO,DO
EC,EC
EG,EG
SV,SV
GQ,GQ
ER,ER
EE,EE
ET,ET
FK,FK
FO,FO
FJ,FJ
FI,FI
FR,FR
GF,GF
PF,PF
TF,TF
GA,GA
GM,GM
GE,GE
DE,DE
GH,GH
GI,GI
GR,GR
GL,GL
GD,GD
GP,GP
GU,GU
GT,GT
GG,GG
GN,GN
GW,GW
GY,GY
HT,HT
HM,HM
VA,VA
HN,HN
HK,HK
HU,HU
IS,IS
IN,IN
ID,ID
IR,IR
IQ,IQ
IE,IE
IM,IM
IL,IL
IT,IT
JM,JM
JP,JP
JE,JE
JO,JO
KZ,KZ
KE,KE
KI,KI
KP,KP
KR,KR
KW,KW
KG,KG
LA,LA
LV,LV
LB,LB
LS,LS
LR,LR
LY,LY
LI,LI
LT,LT
LU,LU
MO,MO
MK,MK
MG,MG
MW,MW
MY,MY
MV,MV
ML,ML
MT,MT
MH,MH
MQ,MQ
MR,MR
MU,MU
YT,YT
MX,MX
FM,FM
MD,MD
MC,MC
MN,MN
ME,ME
MS,MS
MA,MA
MZ,MZ
MM,MM
NA,NA
NR,NR
NP,NP
NL,NL
NC,NC
NZ,NZ
NI,NI
NE,NE
NG,NG
NU,NU
NF,NF
MP,MP
NO,NO
OM,OM
PK,PK
PW,PW
PS,PS
PA,PA
PG,PG
PY,PY
PE,PE
PH,PH
PN,PN
PL,PL
PT,PT
PR,PR
QA,QA
RE,RE
RO,RO
RU,RU
RW,RW
BL,BL
SH,SH
KN,KN
LC,LC
MF,MF
PM,PM
VC,VC
WS,WS
SM,SM
ST,ST
SA,SA
SN,SN
RS,RS
SC,SC
SL,SL
SG,SG
SX,SX
SK,SK
SI,SI
SB,SB
SO,SO
ZA,ZA
GS,GS
SS,SS
ES,ES
LK,LK
SD,SD
SR,SR
SJ,SJ
SZ,SZ
SE,SE
CH,CH
SY,SY
TW,TW
TJ,TJ
TZ,TZ
TH,TH
TL,TL
TG,TG
TK,TK
TO,TO
TT,TT
TN,TN
TR,TR
TM,TM
TC,TC
TV,TV
UG,UG
UA,UA
AE,AE
GB,GB
US,US
UM,UM
UY,UY
UZ,UZ
VU,VU
VE,VE
VN,VN
VG,VG
VI,VI
WF,WF
EH,EH
YE,YE
ZM,ZM
ZW,ZW
AFG,AFG
ALA,ALA
ALB,ALB
DZA,DZA
ASM,ASM
AND,AND
AGO,AGO
AIA,AIA
ATA,ATA
ATG,ATG
ARG,ARG
ARM,ARM
ABW,ABW
AUS,AUS
AUT,AUT
AZE,AZE
BHS,BHS
BHR,BHR
BGD,BGD
BRB,BRB
BLR,BLR
BEL,BEL
BLZ,BLZ
BEN,BEN
BMU,BMU
BTN,BTN
BOL,BOL
BIH,BIH
BWA,BWA
BVT,BVT
BRA,BRA
VGB,VGB
IOT,IOT
BRN,BRN
BGR,BGR
BFA,BFA
BDI,BDI
KHM,KHM
CMR,CMR
CAN,CAN
CPV,CPV
CYM,CYM
CAF,CAF
TCD,TCD
CHL,CHL
CHN,CHN
HKG,HKG
MAC,MAC
CXR,CXR
CCK,CCK
COL,COL
COM,COM
COG,COG
COD,COD
COK,COK
CRI,CRI
CIV,CIV
HRV,HRV
CUB,CUB
CYP,CYP
CZE,CZE
DNK,DNK
DJI,DJI
DMA,DMA
DOM,DOM
ECU,ECU
EGY,EGY
SLV,SLV
GNQ,GNQ
ERI,ERI
EST,EST
ETH,ETH
FLK,FLK
FRO,FRO
FJI,FJI
FIN,FIN
FRA,FRA
GUF,GUF
PYF,PYF
ATF,ATF
GAB,GAB
GMB,GMB
GEO,GEO
DEU,DEU
GHA,GHA
GIB,GIB
GRC,GRC
GRL,GRL
GRD,GRD
GLP,GLP
GUM,GUM
GTM,GTM
GGY,GGY
GIN,GIN
GNB,GNB
GUY,GUY
HTI,HTI
HMD,HMD
VAT,VAT
HND,HND
HUN,HUN
ISL,ISL
IND,IND
IDN,IDN
IRN,IRN
IRQ,IRQ
IRL,IRL
IMN,IMN
ISR,ISR
ITA,ITA
JAM,JAM
JPN,JPN
JEY,JEY
JOR,JOR
KAZ,KAZ
KEN,KEN
KIR,KIR
PRK,PRK
KOR,KOR
KWT,KWT
KGZ,KGZ
LAO,LAO
LVA,LVA
LBN,LBN
LSO,LSO
LBR,LBR
LBY,LBY
LIE,LIE
LTU,LTU
LUX,LUX
MKD,MKD
MDG,MDG
MWI,MWI
MYS,MYS
MDV,MDV
MLI,MLI
MLT,MLT
MHL,MHL
MTQ,MTQ
MRT,MRT
MUS,MUS
MYT,MYT
MEX,MEX
FSM,FSM
MDA,MDA
MCO,MCO
MNG,MNG
MNE,MNE
MSR,MSR
MAR,MAR
MOZ,MOZ
MMR,MMR
NAM,NAM
NRU,NRU
NPL,NPL
NLD,NLD
ANT,ANT
NCL,NCL
NZL,NZL
NIC,NIC
NER,NER
NGA,NGA
NIU,NIU
NFK,NFK
MNP,MNP
NOR,NOR
OMN,OMN
PAK,PAK
PLW,PLW
PSE,PSE
PAN,PAN
PNG,PNG
PRY,PRY
PER,PER
PHL,PHL
PCN,PCN
POL,POL
PRT,PRT
PRI,PRI
QAT,QAT
REU,REU
ROU,ROU
RUS,RUS
RWA,RWA
BLM,BLM
SHN,SHN
KNA,KNA
LCA,LCA
MAF,MAF
SPM,SPM
VCT,VCT
WSM,WSM
SMR,SMR
STP,STP
SAU,SAU
SEN,SEN
SRB,SRB
SYC,SYC
SLE,SLE
SGP,SGP
SVK,SVK
SVN,SVN
SLB,SLB
SOM,SOM
ZAF,ZAF
SGS,SGS
SSD,SSD
ESP,ESP
LKA,LKA
SDN,SDN
SUR,SUR
SJM,SJM
SWZ,SWZ
SWE,SWE
CHE,CHE
SYR,SYR
TWN,TWN
TJK,TJK
TZA,TZA
THA,THA
TLS,TLS
TGO,TGO
TKL,TKL
TON,TON
TTO,TTO
TUN,TUN
TUR,TUR
TKM,TKM
TCA,TCA
TUV,TUV
UGA,UGA
UKR,UKR
ARE,ARE
GBR,GBR
USA,USA
UMI,UMI
URY,URY
UZB,UZB
VUT,VUT
VEN,VEN
VNM,VNM
VIR,VIR
WLF,WLF
ESH,ESH
YEM,YEM
ZMB,ZMB
ZWE,ZWE
